id,full_name,email,balance,use_prepay,created_at,github_login
182,Ing-Marie Lindstedt,ingmarie.lindstedt.182@example.com,28.57,True,2024-04-21T16:16:13.619847,lindstedt182
183,Charlotta Öberg,charlotta.oberg.183@example.com,310.5,True,2024-06-19T19:29:41.537635,oberg183
184,Elena Matsson,elena.matsson.184@example.com,355.04,True,2025-01-07T01:28:33.224232,matsson184
185,Ene Lindquist,ene.lindquist.185@example.com,-138.66,False,2024-12-28T11:40:19.969838,lindquist185
186,Ally Palmgren,ally.palmgren.186@example.com,179.6,True,2024-06-29T04:00:11.395178,palmgren186
187,Zouhair Kristiansson,zouhair.kristiansson.187@example.com,-41.13,False,2024-09-13T10:03:36.648956,kristiansson187
188,Franka  Appelgren,franka.appelgren.188@example.com,261.9,True,2024-03-25T16:45:40.558317,appelgren188
189,Per-David Ljungqvist,perdavid.ljungqvist.189@example.com,-168.03,False,2024-02-16T09:38:41.646887,ljungqvist189
190,Avni Lindman,avni.lindman.190@example.com,-163.15,False,2024-12-15T21:20:21.088371,lindman190
191,Hannah Vidén,hannah.viden.191@example.com,80.39,True,2024-03-17T21:32:12.081586,viden191
192,Emmy Rosander,emmy.rosander.192@example.com,325.26,True,2025-01-06T10:08:50.377493,rosander192
193,Sofi Wennerberg,sofi.wennerberg.193@example.com,-143.0,False,2024-08-31T02:54:18.498673,wennerberg193
194,Theocharis Almström,theocharis.almstrom.194@example.com,-116.17,False,2024-01-15T18:28:50.368321,almstrom194
195,Izabel  Ulander,izabel.ulander.195@example.com,239.9,True,2024-08-27T05:14:24.675602,ulander195
196,Abdourahman Wahlström,abdourahman.wahlstrom.196@example.com,294.87,True,2024-08-06T11:42:59.341112,wahlstrom196
197,Eva-Marie Lång,evamarie.lang.197@example.com,38.49,True,2024-09-16T05:27:36.767964,lang197
198,Gianni Landström,gianni.landstrom.198@example.com,256.76,True,2024-12-08T04:52:07.019408,landstrom198
199,Alik Sonesson,alik.sonesson.199@example.com,300.67,True,2024-08-12T05:24:18.434323,sonesson199
200,Oddbjörn Modin,oddbjorn.modin.200@example.com,318.95,True,2024-12-04T04:13:40.194614,modin200
201,Enya Gustafsson,enya.gustafsson.201@example.com,166.6,True,2024-05-13T22:58:01.548478,gustafsson201
202,Lejla Nykvist,lejla.nykvist.202@example.com,105.81,True,2024-01-31T09:31:40.013333,nykvist202
203,Tor Blomquist,tor.blomquist.203@example.com,80.61,True,2024-07-16T02:28:31.750254,blomquist203
204,Forat Morén,forat.moren.204@example.com,-70.89,False,2024-03-20T09:39:30.333516,moren204
205,Kennt Svenningsson,kennt.svenningsson.205@example.com,-76.92,False,2024-04-21T12:28:41.474698,svenningsson205
206,Goitom Stenvall,goitom.stenvall.206@example.com,70.85,True,2024-12-22T17:04:02.436478,stenvall206
207,Najim Ulander,najim.ulander.207@example.com,104.43,True,2024-01-28T01:53:27.100494,ulander207
208,Roma Sunesson,roma.sunesson.208@example.com,-68.99,False,2024-03-31T16:43:32.875842,sunesson208
209,Tom Eklund,tom.eklund.209@example.com,256.37,True,2024-10-14T20:19:22.080389,eklund209
210,Takeshi Pålsson,takeshi.palsson.210@example.com,377.31,True,2024-08-10T22:02:27.386572,palsson210
211,Alexandros Åkerlund,alexandros.akerlund.211@example.com,-34.13,False,2024-12-05T18:03:22.521778,akerlund211
212,Hannu Wester,hannu.wester.212@example.com,392.17,True,2024-03-05T03:16:28.490754,wester212
213,Hadrian Löfqvist,hadrian.lofqvist.213@example.com,-148.77,False,2024-08-15T04:27:30.105761,lofqvist213
214,Jennifer Nielsen,jennifer.nielsen.214@example.com,200.41,True,2024-02-09T04:53:18.570036,nielsen214
215,Ramadhan Kruse,ramadhan.kruse.215@example.com,255.25,True,2024-09-17T16:08:37.195691,kruse215
216,Carolina Svanström,carolina.svanstrom.216@example.com,11.26,True,2024-04-26T08:11:38.824158,svanstrom216
217,Sabhan André,sabhan.andre.217@example.com,200.99,True,2024-10-16T04:50:11.989576,andre217
218,Arnas Sköld,arnas.skold.218@example.com,97.31,True,2024-06-17T13:52:37.790889,skold218
219,Marita Lundstedt,marita.lundstedt.219@example.com,173.9,True,2025-01-04T18:36:18.167041,lundstedt219
220,Tomsson Köhler,tomsson.kohler.220@example.com,383.79,True,2024-04-28T16:38:50.755239,kohler220
221,Lawen Forsgren,lawen.forsgren.221@example.com,116.02,True,2024-02-11T00:11:46.816508,forsgren221
222,Ann-Charlotte Lundholm,anncharlotte.lundholm.222@example.com,-6.11,True,2024-03-28T03:45:38.418109,lundholm222
223,Aleksandrs Eskilsson,aleksandrs.eskilsson.223@example.com,386.23,True,2024-07-08T21:58:09.174969,eskilsson223
224,Parker Strid,parker.strid.224@example.com,-83.13,False,2024-11-09T04:49:09.822496,strid224
225,Eiwe Sjödin,eiwe.sjodin.225@example.com,69.66,True,2024-11-29T04:46:37.163750,sjodin225
226,B:son Söderlind,bson.soderlind.226@example.com,63.66,True,2024-02-04T03:11:12.149033,soderlind226
227,Pál Johnsson,pal.johnsson.227@example.com,-109.51,False,2024-04-30T00:44:40.084943,johnsson227
228,Tindra Alm,tindra.alm.228@example.com,222.98,True,2024-05-30T11:28:10.952674,alm228
229,Tyra Thulin,tyra.thulin.229@example.com,59.08,True,2024-05-11T03:40:36.166255,thulin229
230,Nediljko Nordström,nediljko.nordstrom.230@example.com,40.85,True,2024-12-22T14:54:36.421681,nordstrom230
231,Naemi  Stenlund,naemi.stenlund.231@example.com,145.96,True,2024-05-19T13:05:49.358916,stenlund231
232,M Ahlqvist,m.ahlqvist.232@example.com,51.07,True,2024-06-21T15:09:24.285284,ahlqvist232
233,Chanon Hilmersson,chanon.hilmersson.233@example.com,354.95,True,2024-01-28T20:02:50.009424,hilmersson233
234,Aresh Norlander,aresh.norlander.234@example.com,240.44,True,2024-03-12T10:13:41.372473,norlander234
235,Alicia Knutsson,alicia.knutsson.235@example.com,133.0,True,2024-08-23T19:52:30.874011,knutsson235
236,Lejla Löfdahl,lejla.lofdahl.236@example.com,126.74,True,2024-05-15T13:02:03.220232,lofdahl236
237,Evaggelos Sjöström,evaggelos.sjostrom.237@example.com,-26.36,True,2024-06-26T01:00:45.296896,sjostrom237
238,Sheldon Åhlander,sheldon.ahlander.238@example.com,44.86,True,2024-10-16T07:44:39.007355,ahlander238
239,Shehzad Engblom,shehzad.engblom.239@example.com,-168.45,False,2024-05-06T03:17:52.075250,engblom239
240,Hrafn Söderman,hrafn.soderman.240@example.com,268.71,True,2024-03-17T21:25:20.802953,soderman240
241,Cronie Sköld,cronie.skold.241@example.com,154.0,True,2024-08-24T03:08:32.634585,skold241
242,Svenerik Österman,svenerik.osterman.242@example.com,317.11,True,2024-05-15T10:26:11.063632,osterman242
243,Cristina Helander,cristina.helander.243@example.com,-150.0,False,2024-10-24T21:27:05.351023,helander243
244,Anthoni Steen,anthoni.steen.244@example.com,-189.9,False,2024-12-08T05:48:47.370699,steen244
245,Paulos Brorsson,paulos.brorsson.245@example.com,60.8,True,2025-01-03T19:39:30.095563,brorsson245
246,Annikki Pedersen,annikki.pedersen.246@example.com,334.53,True,2024-04-03T15:33:21.665202,pedersen246
247,Hans-Magnus Vennberg,hansmagnus.vennberg.247@example.com,368.71,True,2024-05-08T02:07:55.443153,vennberg247
248,Alida  Ljungberg,alida.ljungberg.248@example.com,-109.63,False,2024-06-27T21:20:19.714630,ljungberg248
249,Celia  Sandin,celia.sandin.249@example.com,60.28,True,2024-08-09T07:58:05.408745,sandin249
250,Årad Wirén,arad.wiren.250@example.com,364.38,True,2024-12-07T21:14:40.558496,wiren250
251,Elif Lindholm,elif.lindholm.251@example.com,-38.82,False,2024-05-05T10:29:44.770571,lindholm251
252,Danger Löfström,danger.lofstrom.252@example.com,34.32,True,2024-08-14T04:31:47.219387,lofstrom252
253,Ally Wikman,ally.wikman.253@example.com,145.43,True,2024-02-29T02:02:37.445602,wikman253
254,Dara Hellberg,dara.hellberg.254@example.com,68.2,True,2024-02-23T14:16:19.514177,hellberg254
255,Natalie Ålander,natalie.alander.255@example.com,-27.23,False,2024-08-15T01:03:49.587443,alander255
256,Majken Wiklund,majken.wiklund.256@example.com,-23.5,True,2025-01-05T06:18:38.069544,wiklund256
